volume,vw,open,close,high,low,timestamp,n,timestamp
701181.0,515.7996,515.77,515.79,515.86,515.6,1710878400000,1060,2024-03-19 16:00:00-04:00
338516.0,513.6119,515.8,515.91,515.94,515.8,1710878520000,359,2024-03-19 16:02:00-04:00
1250375.0,515.7819,515.91,515.71,515.92,515.68,1710878640000,729,2024-03-19 16:04:00-04:00
149883.0,515.7188,515.69,515.77,515.84,515.66,1710878760000,413,2024-03-19 16:06:00-04:00
208431.0,515.6654,515.79,515.7,515.8,515.62,1710878880000,252,2024-03-19 16:08:00-04:00
1751972.0,515.7638,515.69,515.69,515.73,515.67,1710879000000,154,2024-03-19 16:10:00-04:00
59693.0,515.6245,515.69,515.63,515.72,515.53,1710879120000,308,2024-03-19 16:12:00-04:00
382957.0,515.6823,515.61,515.57,515.71,515.43,1710879240000,455,2024-03-19 16:14:00-04:00
70797.0,515.6001,515.54,515.63,515.67,515.51,1710879360000,211,2024-03-19 16:16:00-04:00
2860.0,515.6371,515.65,515.59,515.68,515.59,1710879480000,49,2024-03-19 16:18:00-04:00
90215.0,515.5309,515.58,515.48,515.58,515.47,1710879600000,268,2024-03-19 16:20:00-04:00
8625.0,515.5347,515.55,515.53,515.56,515.52,1710879720000,74,2024-03-19 16:22:00-04:00
7818.0,515.5895,515.54,515.65,515.65,515.54,1710879840000,70,2024-03-19 16:24:00-04:00
4972.0,515.5978,515.62,515.63,515.63,515.57,1710879960000,43,2024-03-19 16:26:00-04:00
267910.0,513.0003,515.63,515.59,515.64,515.59,1710880080000,54,2024-03-19 16:28:00-04:00
2260.0,515.6035,515.59,515.61,515.61,515.59,1710880200000,28,2024-03-19 16:30:00-04:00
4212.0,515.6053,515.62,515.6,515.63,515.57,1710880320000,46,2024-03-19 16:32:00-04:00
52503.0,515.6406,515.6,515.67,515.67,515.56,1710880440000,156,2024-03-19 16:34:00-04:00
6303.0,515.6541,515.68,515.65,515.68,515.63,1710880560000,50,2024-03-19 16:36:00-04:00
1226.0,515.6812,515.67,515.69,515.69,515.67,1710880680000,48,2024-03-19 16:38:00-04:00
5609.0,515.7093,515.7,515.75,515.75,515.7,1710880800000,76,2024-03-19 16:40:00-04:00
9202.0,515.7948,515.7696,515.78,515.83,515.7696,1710880920000,90,2024-03-19 16:42:00-04:00
2289.0,515.7795,515.78,515.78,515.8,515.78,1710881040000,65,2024-03-19 16:44:00-04:00
2765.0,515.7213,515.74,515.73,515.75,515.7,1710881160000,30,2024-03-19 16:46:00-04:00
5594.0,515.6892,515.72,515.68,515.72,515.68,1710881280000,71,2024-03-19 16:48:00-04:00
1340.0,515.6846,515.67,515.63,515.7,515.63,1710881400000,47,2024-03-19 16:50:00-04:00
622.0,515.6527,515.65,515.6604,515.6604,515.65,1710881520000,8,2024-03-19 16:52:00-04:00
1826.0,515.6733,515.67,515.66,515.69,515.66,1710881640000,50,2024-03-19 16:54:00-04:00
41237.0,515.7043,515.67,515.58,515.67,515.58,1710881760000,47,2024-03-19 16:56:00-04:00
2513.0,515.5616,515.56,515.56,515.61,515.56,1710881880000,78,2024-03-19 16:58:00-04:00
3032.0,515.5084,515.52,515.46,515.52,515.46,1710882000000,26,2024-03-19 17:00:00-04:00
6844.0,515.4314,515.51,515.41,515.51,515.41,1710882120000,67,2024-03-19 17:02:00-04:00
232.0,515.4514,515.45,515.45,515.45,515.45,1710882240000,11,2024-03-19 17:04:00-04:00
9262.0,515.5045,515.48,515.52,515.52,515.47,1710882360000,33,2024-03-19 17:06:00-04:00
4121.0,515.4549,515.49,515.45,515.49,515.45,1710882480000,17,2024-03-19 17:08:00-04:00
1654.0,515.4741,515.51,515.45,515.51,515.45,1710882600000,16,2024-03-19 17:10:00-04:00
508.0,515.5203,515.52,515.52,515.52,515.52,1710882720000,4,2024-03-19 17:12:00-04:00
294.0,515.5091,515.53,515.47,515.53,515.47,1710882840000,12,2024-03-19 17:14:00-04:00
6949.0,515.4583,515.49,515.45,515.49,515.45,1710883200000,30,2024-03-19 17:20:00-04:00
7952.0,515.4439,515.45,515.42,515.45,515.42,1710883320000,28,2024-03-19 17:22:00-04:00
849.0,515.4236,515.42,515.42,515.42,515.42,1710883440000,25,2024-03-19 17:24:00-04:00
153.0,515.4525,515.45,515.45,515.45,515.45,1710883560000,5,2024-03-19 17:26:00-04:00
1867.0,515.5162,515.52,515.52,515.52,515.52,1710883920000,40,2024-03-19 17:32:00-04:00
12721.0,515.5476,515.52,515.6,515.6,515.52,1710884040000,65,2024-03-19 17:34:00-04:00
7448.0,515.6199,515.62,515.62,515.62,515.62,1710884160000,23,2024-03-19 17:36:00-04:00
121.0,515.5238,515.5126,515.5126,515.5126,515.5126,1710884520000,12,2024-03-19 17:42:00-04:00
516.0,515.5212,515.52,515.52,515.52,515.52,1710884640000,12,2024-03-19 17:44:00-04:00
1091.0,515.5909,515.59,515.6,515.6,515.59,1710884880000,57,2024-03-19 17:48:00-04:00
179.0,515.5987,515.6,515.6,515.6,515.6,1710885000000,8,2024-03-19 17:50:00-04:00
1082.0,515.53,515.53,515.53,515.53,515.53,1710885240000,19,2024-03-19 17:54:00-04:00
10037.0,515.5322,515.53,515.6,515.6,515.51,1710885600000,66,2024-03-19 18:00:00-04:00
1622.0,515.5103,515.51,515.51,515.51,515.51,1710885720000,14,2024-03-19 18:02:00-04:00
9509.0,515.5222,515.54,515.51,515.54,515.51,1710885840000,54,2024-03-19 18:04:00-04:00
154.0,515.479,515.48,515.48,515.48,515.48,1710886080000,17,2024-03-19 18:08:00-04:00
330.0,515.4961,515.49,515.5,515.5,515.49,1710886200000,18,2024-03-19 18:10:00-04:00
307.0,515.4992,515.5,515.5,515.5,515.5,1710886440000,9,2024-03-19 18:14:00-04:00
1081.0,515.4253,515.42,515.42,515.42,515.42,1710886560000,23,2024-03-19 18:16:00-04:00
535.0,515.4522,515.45,515.45,515.45,515.45,1710886680000,14,2024-03-19 18:18:00-04:00
1613.0,515.45,515.45,515.45,515.45,515.45,1710886800000,18,2024-03-19 18:20:00-04:00
