volume,vw,open,close,high,low,timestamp,n,timestamp
705,526.8992,526.81,526.81,526.81,526.81,1717488000000,41,2024-06-04 04:00:00-04:00
984,526.4801,526.74,526.3,526.74,526.29,1717488120000,29,2024-06-04 04:02:00-04:00
3094,526.208,526.11,526.3,526.3,526.11,1717488240000,42,2024-06-04 04:04:00-04:00
215,526.5199,526.49,526.49,526.49,526.49,1717488360000,6,2024-06-04 04:06:00-04:00
4848,526.5587,526.56,526.57,526.57,526.55,1717488480000,39,2024-06-04 04:08:00-04:00
3824,526.3335,526.5,526.25,526.5,526.25,1717488600000,23,2024-06-04 04:10:00-04:00
2350,526.1933,526.25,526.1,526.25,526.1,1717488720000,18,2024-06-04 04:12:00-04:00
726,526.1941,526.15,526.3,526.3,526.15,1717488840000,11,2024-06-04 04:14:00-04:00
10751,526.2244,526.24,526.3,526.3,526.22,1717488960000,39,2024-06-04 04:16:00-04:00
476,526.3798,526.38,526.38,526.38,526.38,1717489200000,4,2024-06-04 04:20:00-04:00
1047,526.5005,526.5,526.37,526.54,526.37,1717489320000,7,2024-06-04 04:22:00-04:00
775,526.3519,526.4,526.32,526.4,526.32,1717489440000,6,2024-06-04 04:24:00-04:00
1994,526.1054,526.11,526.08,526.11,526.08,1717489560000,14,2024-06-04 04:26:00-04:00
1627,526.1895,526.19,526.19,526.19,526.19,1717489680000,8,2024-06-04 04:28:00-04:00
2856,526.0952,526.08,526.19,526.19,526.08,1717489800000,18,2024-06-04 04:30:00-04:00
757,525.9681,526.02,525.95,526.02,525.95,1717489920000,18,2024-06-04 04:32:00-04:00
392,525.5168,525.47,525.47,525.47,525.47,1717490040000,15,2024-06-04 04:34:00-04:00
340,525.4938,525.51,525.51,525.51,525.51,1717490160000,11,2024-06-04 04:36:00-04:00
339,525.591,525.62,525.62,525.62,525.62,1717490280000,8,2024-06-04 04:38:00-04:00
216,525.5485,525.55,525.55,525.55,525.55,1717490400000,4,2024-06-04 04:40:00-04:00
2502,525.3985,525.45,525.51,525.51,525.38,1717490520000,21,2024-06-04 04:42:00-04:00
890,525.4777,525.53,525.45,525.53,525.45,1717490640000,7,2024-06-04 04:44:00-04:00
411,525.4005,525.4,525.4,525.4,525.4,1717490880000,7,2024-06-04 04:48:00-04:00
1209,525.1895,525.3,525.08,525.3,525.08,1717491000000,20,2024-06-04 04:50:00-04:00
3953,524.9914,525.03,524.97,525.04,524.97,1717491120000,31,2024-06-04 04:52:00-04:00
8499,524.9955,525.02,525.0,525.02,524.98,1717491240000,28,2024-06-04 04:54:00-04:00
12191,525.0318,525.0,525.1,525.16,525.0,1717491360000,38,2024-06-04 04:56:00-04:00
299,525.23,525.24,525.24,525.24,525.24,1717491480000,7,2024-06-04 04:58:00-04:00
282,525.0762,525.06,525.06,525.06,525.06,1717491600000,8,2024-06-04 05:00:00-04:00
842,524.9304,525.0,524.92,525.0,524.92,1717491720000,23,2024-06-04 05:02:00-04:00
3967,524.5826,524.75,524.31,524.75,524.31,1717491840000,36,2024-06-04 05:04:00-04:00
730,524.4514,524.42,524.58,524.58,524.42,1717491960000,21,2024-06-04 05:06:00-04:00
552,524.6588,524.67,524.64,524.67,524.63,1717492080000,11,2024-06-04 05:08:00-04:00
234,524.8,524.8,524.8,524.8,524.8,1717492200000,4,2024-06-04 05:10:00-04:00
967,524.7973,524.8,524.8,524.8,524.8,1717492320000,7,2024-06-04 05:12:00-04:00
