# This file was created LATE, @ 8:33am on 2025-05-23, Wifi was down hence the delay.
{"open": 585.07, "high": 585.7, "low": 576.4, "close": 577.26, "timestamp": "2025-05-23T08:45:00.049639"}
{"open": 577.23, "high": 577.42, "low": 576.07, "close": 576.81, "timestamp": "2025-05-23T09:00:00.013540"}
{"open": 576.79, "high": 578.87, "low": 576.7, "close": 578.26, "timestamp": "2025-05-23T09:15:00.085515"}
{"open": 578.255, "high": 578.6, "low": 576.93, "close": 577.71, "timestamp": "2025-05-23T09:30:00.123508"}
{"open": 577.71, "high": 578.73, "low": 577.57, "close": 578.4216, "timestamp": "2025-05-23T09:45:00.005989"}
{"open": 578.43, "high": 578.9499, "low": 577.02, "close": 577.17, "timestamp": "2025-05-23T10:00:00.080245"}
{"open": 577.17, "high": 578.03, "low": 576.82, "close": 577.41, "timestamp": "2025-05-23T10:15:00.179553"}
{"open": 577.41, "high": 578.5399, "low": 576.86, "close": 578.42, "timestamp": "2025-05-23T10:30:00.085427"}
{"open": 578.39, "high": 579.7, "low": 578.39, "close": 579.13, "timestamp": "2025-05-23T10:45:00.021659"}
{"open": 579.16, "high": 579.23, "low": 577.98, "close": 578.11, "timestamp": "2025-05-23T11:00:00.078166"}
{"open": 578.11, "high": 578.86, "low": 577.52, "close": 578.06, "timestamp": "2025-05-23T11:15:00.069586"}
{"open": 578.06, "high": 579.1, "low": 577.86, "close": 578.64, "timestamp": "2025-05-23T11:30:00.061123"}
{"open": 578.6401, "high": 579.16, "low": 577.96, "close": 578.96, "timestamp": "2025-05-23T11:45:00.243853"}
{"open": 578.965, "high": 579.61, "low": 578.8101, "close": 579.005, "timestamp": "2025-05-23T12:00:00.148786"}
{"open": 579.02, "high": 580.22, "low": 578.74, "close": 579.9701, "timestamp": "2025-05-23T12:15:00.115434"}
{"open": 579.96, "high": 581.155, "low": 579.96, "close": 581.07, "timestamp": "2025-05-23T12:30:00.047935"}
{"open": 581.06, "high": 581.06, "low": 580.04, "close": 580.39, "timestamp": "2025-05-23T12:45:00.120083"}
{"open": 580.34, "high": 581.46, "low": 580.2, "close": 580.86, "timestamp": "2025-05-23T13:00:00.367568"}
{"open": 580.86, "high": 581.76, "low": 580.745, "close": 581.45, "timestamp": "2025-05-23T13:15:00.060610"}
{"open": 581.45, "high": 581.8101, "low": 579.99, "close": 580.7, "timestamp": "2025-05-23T13:30:00.387389"}
{"open": 580.69, "high": 581.53, "low": 580.68, "close": 580.93, "timestamp": "2025-05-23T13:45:00.153729"}
{"open": 580.93, "high": 581.21, "low": 580.39, "close": 580.7072, "timestamp": "2025-05-23T14:00:00.068746"}
{"open": 580.7072, "high": 581.4473, "low": 580.11, "close": 581.17, "timestamp": "2025-05-23T14:15:00.070741"}
{"open": 581.17, "high": 581.17, "low": 579.39, "close": 579.77, "timestamp": "2025-05-23T14:30:00.305255"}
{"open": 579.76, "high": 581.0298, "low": 579.72, "close": 580.6851, "timestamp": "2025-05-23T14:45:00.217447"}
