volume,vw,open,close,high,low,t,n,timestamp
762551.0,614.4934,614.79,614.52,614.91,614.2,1751054400000,3786,2025-06-27 16:00:00-04:00
394996.0,613.6429,614.56,614.61,614.69,614.45,1751054520000,1712,2025-06-27 16:02:00-04:00
128829.0,614.4811,614.61,614.5,614.62,614.36,1751054640000,805,2025-06-27 16:04:00-04:00
253952.0,614.4233,614.49,614.52,614.53,614.34,1751054760000,1278,2025-06-27 16:06:00-04:00
116660.0,614.5138,614.5,614.51,614.59,614.46,1751054880000,679,2025-06-27 16:08:00-04:00
358358.0,614.7851,614.54,614.58,614.5989,614.41,1751055000000,890,2025-06-27 16:10:00-04:00
1860418.0,614.9065,614.54,614.45,614.54,614.4,1751055120000,591,2025-06-27 16:12:00-04:00
74675.0,614.4284,614.42,614.5,614.53,614.33,1751055240000,749,2025-06-27 16:14:00-04:00
35894.0,614.434,614.46,614.48,614.5,614.36,1751055360000,397,2025-06-27 16:16:00-04:00
18240.0,614.4906,614.451,614.46,614.55,614.44,1751055480000,207,2025-06-27 16:18:00-04:00
148212.0,614.811,614.45,614.48,614.51,614.45,1751055600000,268,2025-06-27 16:20:00-04:00
24463.0,614.4078,614.5,614.36,614.5,614.35,1751055720000,231,2025-06-27 16:22:00-04:00
180800.0,614.87,614.35,614.33,614.35,614.28,1751055840000,226,2025-06-27 16:24:00-04:00
34776.0,614.2778,614.34,614.32,614.38,614.19,1751055960000,274,2025-06-27 16:26:00-04:00
28543.0,614.2434,614.3001,614.28,614.3199,614.19,1751056080000,266,2025-06-27 16:28:00-04:00
17599.0,614.3985,614.28,614.49,614.5,614.28,1751056200000,209,2025-06-27 16:30:00-04:00
19813.0,614.5747,614.5499,614.52,614.61,614.47,1751056320000,208,2025-06-27 16:32:00-04:00
23365.0,614.4896,614.51,614.45,614.53,614.4,1751056440000,216,2025-06-27 16:34:00-04:00
14729.0,614.4246,614.45,614.43,614.46,614.38,1751056560000,133,2025-06-27 16:36:00-04:00
5026.0,614.475,614.3713,614.49,614.5,614.3713,1751056680000,79,2025-06-27 16:38:00-04:00
17133.0,614.469,614.46,614.44,614.51,614.41,1751056800000,153,2025-06-27 16:40:00-04:00
4922.0,614.4109,614.47,614.4,614.47,614.39,1751056920000,75,2025-06-27 16:42:00-04:00
11701.0,614.353,614.43,614.29,614.46,614.28,1751057040000,127,2025-06-27 16:44:00-04:00
22113.0,614.3766,614.28,614.41,614.411,614.28,1751057160000,210,2025-06-27 16:46:00-04:00
9101.0,614.4237,614.39,614.49,614.49,614.38,1751057280000,142,2025-06-27 16:48:00-04:00
31910.0,614.4691,614.5499,614.48,614.55,614.43,1751057400000,244,2025-06-27 16:50:00-04:00
9205.0,614.5394,614.52,614.5,614.68,614.49,1751057520000,133,2025-06-27 16:52:00-04:00
9629.0,614.4986,614.51,614.44,614.6,614.44,1751057640000,168,2025-06-27 16:54:00-04:00
5477.0,614.5349,614.5,614.58,614.6,614.5,1751057760000,143,2025-06-27 16:56:00-04:00
2488.0,614.521,614.5,614.61,614.61,614.45,1751057880000,65,2025-06-27 16:58:00-04:00
625.0,614.6154,614.62,614.62,614.62,614.62,1751058000000,22,2025-06-27 17:00:00-04:00
3718.0,614.4393,614.47,614.45,614.47,614.4002,1751058120000,47,2025-06-27 17:02:00-04:00
1486.0,614.3991,614.43,614.39,614.43,614.36,1751058240000,35,2025-06-27 17:04:00-04:00
8331.0,614.3941,614.4,614.47,614.47,614.3059,1751058360000,58,2025-06-27 17:06:00-04:00
1545.0,614.4871,614.49,614.5,614.5,614.41,1751058480000,35,2025-06-27 17:08:00-04:00
1353.0,614.4905,614.5,614.5,614.5,614.48,1751058600000,32,2025-06-27 17:10:00-04:00
3020.0,614.491,614.5,614.5,614.5,614.47,1751058720000,32,2025-06-27 17:12:00-04:00
1950.0,614.5083,614.5,614.5,614.5,614.48,1751058840000,43,2025-06-27 17:14:00-04:00
7775.0,614.5008,614.5,614.5,614.51,614.49,1751058960000,47,2025-06-27 17:16:00-04:00
4832.0,614.3876,614.49,614.47,614.5,614.3,1751059080000,91,2025-06-27 17:18:00-04:00
8462.0,614.4988,614.47,614.5,614.51,614.47,1751059200000,45,2025-06-27 17:20:00-04:00
4857.0,614.5007,614.51,614.51,614.51,614.49,1751059320000,19,2025-06-27 17:22:00-04:00
5189.0,614.5008,614.5,614.5,614.51,614.5,1751059440000,23,2025-06-27 17:24:00-04:00
1573.0,614.4989,614.5,614.5,614.5,614.5,1751059560000,14,2025-06-27 17:26:00-04:00
6155.0,614.4222,614.47,614.4,614.47,614.4,1751059680000,33,2025-06-27 17:28:00-04:00
2077.0,614.3504,614.38,614.34,614.38,614.31,1751059800000,33,2025-06-27 17:30:00-04:00
2822.0,614.3485,614.33,614.35,614.35,614.33,1751059920000,27,2025-06-27 17:32:00-04:00
1653.0,614.3099,614.31,614.3,614.32,614.3,1751060040000,46,2025-06-27 17:34:00-04:00
4429.0,614.3356,614.31,614.3,614.35,614.3,1751060160000,14,2025-06-27 17:36:00-04:00
