volume,vw,open,close,high,low,t,n,timestamp
8210.0,617.2333,617.33,617.09,617.33,617.05,1751270400000,227,2025-06-30 04:00:00-04:00
2515.0,617.1624,617.17,617.23,617.23,617.03,1751270520000,107,2025-06-30 04:02:00-04:00
3075.0,617.3311,617.25,617.37,617.37,617.25,1751270640000,64,2025-06-30 04:04:00-04:00
872.0,617.3457,617.39,617.33,617.39,617.33,1751270760000,21,2025-06-30 04:06:00-04:00
1259.0,617.3757,617.36,617.36,617.36,617.36,1751270880000,31,2025-06-30 04:08:00-04:00
7021.0,617.4178,617.41,617.4,617.47,617.4,1751271000000,86,2025-06-30 04:10:00-04:00
6400.0,617.489,617.5,617.49,617.5,617.49,1751271120000,30,2025-06-30 04:12:00-04:00
473.0,617.5319,617.5,617.56,617.56,617.5,1751271240000,24,2025-06-30 04:14:00-04:00
793.0,617.5661,617.57,617.56,617.57,617.56,1751271360000,15,2025-06-30 04:16:00-04:00
528.0,617.5139,617.49,617.49,617.51,617.49,1751271480000,17,2025-06-30 04:18:00-04:00
419.0,617.3968,617.39,617.38,617.39,617.38,1751271600000,16,2025-06-30 04:20:00-04:00
861.0,617.2885,617.31,617.27,617.31,617.24,1751271720000,31,2025-06-30 04:22:00-04:00
1120.0,617.2832,617.28,617.31,617.31,617.28,1751271840000,26,2025-06-30 04:24:00-04:00
492.0,617.2881,617.25,617.28,617.28,617.25,1751271960000,17,2025-06-30 04:26:00-04:00
607.0,617.2437,617.26,617.18,617.26,617.18,1751272200000,22,2025-06-30 04:30:00-04:00
258.0,617.1561,617.19,617.19,617.19,617.19,1751272320000,22,2025-06-30 04:32:00-04:00
748.0,617.1515,617.18,617.12,617.18,617.12,1751272440000,16,2025-06-30 04:34:00-04:00
889.0,617.2223,617.22,617.22,617.23,617.22,1751272560000,21,2025-06-30 04:36:00-04:00
1879.0,617.2381,617.23,617.21,617.26,617.21,1751272680000,41,2025-06-30 04:38:00-04:00
838.0,617.2495,617.32,617.21,617.32,617.21,1751272800000,16,2025-06-30 04:40:00-04:00
223.0,617.1818,617.2,617.2,617.2,617.2,1751272920000,7,2025-06-30 04:42:00-04:00
2384.0,617.2385,617.2,617.3,617.3,617.2,1751273040000,46,2025-06-30 04:44:00-04:00
150.0,617.28,617.27,617.27,617.27,617.27,1751273160000,2,2025-06-30 04:46:00-04:00
292.0,617.2252,617.22,617.22,617.22,617.22,1751273280000,8,2025-06-30 04:48:00-04:00
2357.0,617.2319,617.23,617.24,617.25,617.21,1751273880000,44,2025-06-30 04:58:00-04:00
658.0,617.2327,617.23,617.23,617.23,617.23,1751274000000,20,2025-06-30 05:00:00-04:00
821.0,617.1631,617.21,617.13,617.21,617.13,1751274120000,30,2025-06-30 05:02:00-04:00
